,0
33,"@MBuhari we begged you since the beginning of the year to shut down flights coming from areas affected with Corona virus... We begged you

We understand that the country is not where it's meant to be and we are going through lots.. but our health and hope is all we have..."
34,"Anxiety is HIGH. Makes it hard to catch my breath, which makes me think I have corona which gives me more anxiety 🤣😟 I need to stay offline"
35,"RT @_SJPeace_: China built an entire Hospital with thousands of beds in 10 DAYS to cope with Corona Virus outbreak. 

Meanwhile in America…"
36,At this point everyone got corona like dammmnn
37,@samstein Slept weird on my side and was convinced it was corona but now I'm just chillin at this point with my depression
38,i’m hurt corona tryna really prevent 2020 for being the year we expected it to be
39,"RT @_meIodrama_: Corona virus symptoms: difficulty breathing and tightness of chest. 
My anxiety symptoms: difficulty breathing and tightne…"
40,@realDonaldTrump President Trump turn your eyes upon KY..they lead in cures in medication. They had their first breakthrough today. Found the flu medication affects the corona strongly. Help us rise to the answer...Ky is great.
41,"RT @mersana13998366: Corona Virus Vs Israeli regime
They are both deadly, only Corona does not kill children!

#ThursdayMotivation 
#Corona…"
42,I literally could be walking around the house doing normal things and my head suddenly goes: “CORONA VIIIIIRUS” in Cardi B’s voice.
43,All of these people are low vibrational af. So ignorant. So self absorbed. So unaware that this affects more than just them. Absolutely mind blowing https://t.co/cECkFrrc3Y
44,I try and stay indoors as much as I can but I mean I have to go buy groceries and even there there’s a risk of catching this corona bullshit ugh I’m annoyed I want regular life back. I will never take normal every day activities for granted ever again meh ☹️
45,If corona delays my anime I will CRY
46,day 5: do I have corona or is that my anxiety?
47,"I’ve spent my whole life fighting myself and my anxiety, finally feel like I’m getting a good grasp on maintaining a balance and then this Corona Virus shit happens 😫😫😫"
48,"@GretaThunberg 
Hi Greta, here's an idea you can champion. 

One week every month all flights international or national will be banned. Do this for one year and check the impact on environment and economy.

Corona virus slowdown shows this works! 

Cheers
Suhas"
49,"RT @ZacHolten: @BobbySkinner_ @nowthisnews ""I see you got corona virus and are on the brink of death. But here, take a signed umbrella from…"
50,"and reproduce by replication of DNA by the cell itself and stay in the cell and destroy the cell metabolism. So if we want to use any drug to kill veruses, we have in the end killed the cell.

Corona is a virus..... It won't be an easy task.....
 
#Keep a proper hygiene........."
51,"RT @_OutOfRange_: Don't panic 
Take good care of ur health
Corona virus se marogy ya
nhi but Heart attack, anxiety or depression se zaror m…"
52,@SenatorBurr is a slime ball! https://t.co/pmgzEWqGop
53,"Yesterday I felt so suffocated by the news. I felt like every single waking breath and word spoken or heard, was corona related. Now I know it’s hard to avoid, but there are SO many fake voice notes and rumours going around I felt like I was drowning in it and couldn’t escape."
54,I’m sorry it’s been too long since I’ve had my ass ate I hate corona  https://t.co/JwjueSTzZI
55,"This corona shit is getting to these bitches brains.. talking reckless, watch your mouth b"
56,@manvsmeeple @Zmangames_ I think this should be pushed back. Not really a great time to put oit this game with so many people affected by the Corona virus. It feels off for me. Like Zman games is trying to much to cash in to this virus trend. It just doesnt feel right.
57,That’s what I’m saying cause there was a point in jan where I felt like I was finna die but I slept in my room for a few days straight and then I was good. But idk how I could’ve gotten the coronavirus in January so.... https://t.co/UsA30IXSkK
58,RT @smdoubleoch: this corona shit really stopped life for me.
59,@brainburp13 Might explain Mnuchins absence today from the Corona Virus Task Force presser. He didn’t want to talk about it. I’m stumped. They made such a big deal of it yday. I guess we’ll find out.
60,Only got one question how tf does being alone for a week kill corona virus ?
61,@vivekagnihotri @narendramodi https://t.co/LuOD7bBfVl How do you feel about this when the whole country is facing a #PANDAMIC  his own ministers are doing this ! #coronavirusindia #CoronaStopKaroNa #COVID2019 #CoronaAlert #CoronaOutbreak #Coronafighters
62,RT @SumitkadeI: @MajorNeel @theskindoctor13 People like Vishal dadlani wish death of lakhs in India due to corona virus so that they can pu…
63,RT @KrisWilliams: Self absorbed asshats. Best part - if it gets worse - they’ll be crying like lil bitches. They don’t know what doing it t…
64,"@MaikiSherman @1NewsNZ @NZQandA 8 million die from the normal flu in this world every year, the corona flu has killed 10,000 with my calculations the corona flu needs to kill another 7,990,000 before it can legitimately call its self a pandemic,  
https://t.co/Mu10QKtMcI, jacks millennial minute,"
65,"i guess they dont have a single idea how the rest of the world is struggling, pannicking these days https://t.co/grSrJgi6S2"
66,"@SimonOstler @ConsumerSOS @TorontoPearson I really have to wonder at this point, when Corona Virus has been around since January, what more do plp need in terms of directives? 

Have they been living in a bubble? Should the immigration agents get fired for - Lord forbid - not reminding them they MUST self contain?"
67,RT @TomJWales: Using heat to kill the corona virus. Via a hairdryer or an electric heater https://t.co/BrM1GhyT6U
68,"RT @BibliovoreOrc: ""Memo to self: do a racism."""
69,Screened a message for the newsroom today from someone who works with at-risk youth and he warned that with kids and their parents/guardians at home all day together more instances of child abuse are inevitable. He wants people to be aware and look for signs of domestic violence. https://t.co/bcPNSaDO5J
70,I need some coochie 😞. This Corona shit is killing me 🤦🏾‍♂️ #QuarentineLife
71,"Scary and all but tbh, we (as always) are leading the fucking nation on being serious af. There is no lie here, and we taking action as a result. Taking comfort in the honesty and leadership. https://t.co/fx263e1gwn"
72,"@lthomas2074 @GregAbbott_TX And By The Way, The President just signed a Corona Virus Relief Package to help Americans with their financial struggles at this time. You should check that out. https://t.co/9yidYjKCYV"
73,"Lmfao it literally feels like this, specially bc alone with my dog 😂 I literally feel like I’m in the move “The legend” https://t.co/7zni66CYNU"
74,when this corona shit is over i’m getting outta my body cs i’m so over this sitting in the house shit 💀
75,RT @bakedonline: My father hit Simmi and I with a hectic phrase today “you’re not infected by corona but you’re affected cause your busines…
76,"Self Help Group members of Odisha Livelihoods Mission, PR&amp;DW Dept. engaged in production of face masks. Working towards fighting Corona Outbreak. #PRDeptOdisha #OLM #SVEP #COVID19 #socialEntprs #hfwOdisha #NarendraModi #otvnews #WHO #mohfw_india #FightCOVID19 https://t.co/MFsEsJEODm"
77,"I miss life before Corona, I thought it was shit, BUT THIS?!! What the fuck"
78,"Governments need to lockdown different areas, legally. Rotate them. Like Corona Crops of Death. One week of quarantine a month, per city. Lower the death rate. Morbid: yes. #covid19 https://t.co/Op5IQhrvoG"
79,RT @EbenOfficial: I KNOWWWWWW! This corona shit has messed up everything hahahha
80,Crying https://t.co/z2uaEq4UXh
81,this is not the cuti i want 😔 i nak cuti yang boleh keluar pegi mana mana with my friends and my family hm corona ruined everything IM SAD
82,My body is doing this new thing where my level of stress causes me to break out in hives... during the corona virus... and in the middle of aftershocks of a earthquakes. I rather die at this point
83,What a total fucking racist. https://t.co/NlfoNUvwWX
84,"The ""when corona is over"" tweets are blowing me. Peoples lives, jobs, families have been affected... Decisions have been made that will continue to affect people for many months. This will never end or be over any time soon."
85,"This is one of the cons/dangers of globalisation. 97% of protective face masks are produced in China... What happens, when the globalised trade networks suddenly collapse? https://t.co/TBeNKuZNud"
86,"These things might be simple but good to stop bad paths in initial stage itself.

God might not help in the situations like Corona-
If God is life then only can get solution.

God is not came with competitions, ego problems.

Be wise than complications to human life, nature."
87,If we really want to fight corona virus we have to fight like a nation. Stop littering around. Crying like kids for shortage of face masks and then after using it throwing the masks on roadways shows your hypocrisy not your cleanliness. #CoronaVirusUpdate #PakistanFightsCorona https://t.co/zAY05fjsKV
88,"@1956kobe If after shutting everything down and destroying al the small businesses in California and make people lose hours and jobs over this Flu bug that has killed 200 people in 2 month when Flu killed 200 today,all that and half people still get Corona, @GavinNewsom is a mass failure"
89,RT @_Paash_: I am honestly tired at this point. A friend of mine travelled to Lagos last week multiple times and is now having symptoms tha…
90,RT @TheAlexGallant: Chile at this point we all have the corona.
91,RT @BlackSapphic: It's really Europeans who brought the corona to the Caribbean and it will impact the Caribbean much harder bc it cannot s…
92,If you ever ate at wingstop on stony point you immune to corona virus that shit is musty asf
93,@gaymonsteraunt @Levikuu Yeah having gut pains or feeling weird in your tum has nothing to do with the corona symptoms. Also keep in mind that if you're having trouble breathing that may also be linked to anxiety and not the corona virus.
94,RT @THEKNOTTHOT: Just lost my job due to corona. I don’t know how I will afford rent. All of my means of making money are being affected ri…
95,Interesting article on How to talk to your child about corona virus?  https://t.co/w4BG7UERZz
96,RT @mhmdzhff_: @qorygore Corona in my body #bacotsantuy https://t.co/lrrThqgXVf
97,NAWT HE CAN FEEL THE CORONA LMFAOOOO😭🤣 https://t.co/ZmlYfSBsVN
98,RT @LindseySwiers: does this whole corona virus thing just not feel real to anyone else like i literally feel like im going to wake up tomo…
99,RT @smitaprakash: Not in the 1st or 2nd world wars did as many people get affected with this crisis as with Corona virus. Indians have batt…
100,RT @cassiansparka: I'm crying so hard by laughing but if the praying to multiple gods thing isn't the most relatable thing ever-
101,"To the point - Corona: How Should We Handle this Crisis?
https://t.co/mnfZ4Tetgx"
102,"RT @HniaziISF: Alone DC isbd is more active than whole Sindh govt. 
but since it’s about Govt vs Media plus opposition, Corona has been pol…"
103,"RT @irfarzan: #CoronaVirus Vs #Israeli regime
They are both deadly, only #Corona does not kill children!

#Gaza 
#FreePalestine https://t.c…"
104,"RT @JesseLehrich: the sad part is I was prepped for corona quarantine a month ago, I'm just too broke to own stocks"
105,"Me: 
Let’s get a bunch of ppl in da trap. We turn up. Live or die we gon ball regardless. fuck it corona can have me I deserve it.
My body: https://t.co/JkmNvK93Y4"
106,"After 6 months of heartache and healing from my last relationship, I finally feel emotionally ready to date women again. 

Right as corona hit. Which really bummed me out at first. 

Until I realized this is literally my online dating dreams come true."
107,Now it's definitely time to react for EVERYONE! STAY AT HOME and avoid contact with other people! I'm also home alone and it doesn't hurt at all. Only in this way we will win against Corona! Let‘s connect here more than ever. Nobody is alone! 👬 Stay healthy! 💪🏻❤️ #SaveTheSummer https://t.co/2ln1vGCNNG
108,"RT @Paul_VanDerMeer: @JoeBiden @gtconway3d Donald Trump caused unnecesary deaths, by 1) eliminating this department 2) by denying the aid o…"
109,"@10NewsWTSP This guy  https://t.co/07wJqrL0Uy will be as legendary as Miss Teen USA-South Carolina (https://t.co/DwhBfkK2Wr) 

You can friend him at https://t.co/Uf00PLb50Y to share your thoughts

Quarantine spring breakers in Clearwater! We don't want them back!"
110,RT @INDIEWASHERE: ppl are literally are fighting to death to get the last scrap of toilet paper to wipe their ass and for diapers and celeb…
111,"RT @TshepiSchwarz: Corona Olympics getting lit, Italy have surpassed china's death rate and recorded 5000+ infections today alone"
112,Keep seeing stuff from other people saying they had a “flu” around December January that matches corona symptoms and I definitely felt like absolute ass can understand how elderly don’t make it.
113,@Madonna Madonna as your aware he's not talking about the corona he's talking about YOU and YOUR SICK PERVERTED RING. You've all finally been EXPOSED I never wish death on anybody but you lot deserve to die for the shit you've done #adrenochrome #Pedovore #exsposed #karma #ByeFelicia
114,The west is on the brink of death. https://t.co/ah2mCrHYmL
115,At this point they should just announce everyone has corona virus
116,I don't know what's really important in life right now...the corona virus or a last person wish to see botany bay over looking la perouse. Life is lovely no matter who you are..and I'm sure this person has lived a wonderful life in the past. I'm sad but I'm happy.🌹😢 https://t.co/0rWjTjDtbW
117,"@DailyMail map of corona virus.
 Stay safe and know infected areas from corona virus. 8,810  Death.
 check live map here
https://t.co/u3pklk5L9l
CoronaVirus Update:
 Total cases: 236,420 
 Deaths:  8,810 
 Recovered:  84,962 https://t.co/1DMGRFtdVB"
118,"Wish league was irl, everyone could just use cleanse and be cured from the corona virus."
119,"Between this corona ordeal, living alone for the first time in my life, feeling chronically exhausted from my 9-6, and turning 27, I don’t know what I’m supposed to do with this “gift” of life"
120,"CBSE has decided to postpone all the exams between March 19 and 31, 2020.
Students to Corona:* https://t.co/dkoYkyBDoo"
121,RT @IAmAlexDark: The corona virus can’t kill me because I died the day one direction broke up
122,"So, it will be very simple app.
1.First we have to sign in using Gmail/Facebook to collect information mainly location of that person.
https://t.co/0JqbbTpvTy the homescreen, we have this corona related symptoms to tick Mark.
@PMOIndia 
@narendramodi 
@BillGates 
@AmitShah 
@WHO"
123,"RT @olawealthq: @aproko_doctor CORONA VIRUS IS NOT A LIFE SENTENCE.

IT IS CURABLE.

IT IS CURABLE

IT IS CURABLE.

whoever wants to post a…"
124,"RT @babyjaai: ever since corona, it has looked like depression outside everyday"
125,corona is f*cking up my life
126,"RT @ryankon: Closed everyday, you’re my Chick-fil-A.

Closed everyday, you my Chick-fil-A.

Hold the large groups, keep 6 ft away.

Grab yo…"
127,RT @paleofuture: What a piece of shit.
128,I am feeling anxiety towards people. I hate how fear has rooted a place in my life. I am afraid of catching corona. I am feeling really alone right now. Does anyone else feel the same way?
129,RT @dai_dreemurr: The corona virus can't kill me cause I've been dead inside for years
130,@tonyposnanski Just a thought is it because Corona is a body part?  Or that the evangelicals are calling it 'crown' like a jesus thing?
131,does this whole corona virus thing just not feel real to anyone else like i literally feel like im going to wake up tomorrow and everything will be back to normal
132,what the fuck was life before corona?????
133,What I said it’s true Ali has good heart he is the Protector of Orphan but he is idiot tags true too cause he keep fail bomb the Kaaba. While we The Dragon in one little influenza name Fake corona can shut down Kaaba for good no body go Hajj any more. Lol 😂 https://t.co/8oEua4b2Bc
134,RT @Seaux5O4: At this point everything Corona related ain’t even news anymore. We know the numbers gon keep goin up
135,"A teen has the Corona Virus in LaSalle county, my senior year is all but over https://t.co/P8gm8oYNhg"
136,@johncusack @sidetolaufer Does corona virus encourage self indulgence?
137,"#covid19insa
When min Zweli Mkhize announce that 60%-70% of SAns will be affected by Corona https://t.co/aAXdn3dSq9"
138,RT @charlidamelio: i hope everyone is staying safe throughout the corona pandemic and my heart goes out to everyone affected by the virus! 💕
139,"Americans don’t give a shit about anything until it affects them or a loved one. If you’re one of those people who are saying the government is trying to destroy the economy, don’t let me see you asking for prayers when someone in your fam is dying of Corona. Health &gt; Money"
140,"@chiefsosabruh Bruh ,it's a matter of life and corona😂"
141,i would absolutely kill for a seafood boil right now but this corona shit is fucking up my life.
142,"RT @iam_erhnehst: Everything was fine in the world until Liverpool decided to take the premier league title 😩💔😂
Kobe died😩
World war 3
Coro…"
143,"RT @MunazaHassan: While Pakistan fights Corona, its extremely sad to see that some elements in media still can't resist the urge to promote…"
144,at this point i should be telling Corona to say inside https://t.co/tSSySKsGY3
145,I hope the corona does kill us all humans suck
146,RT @THATninahastie: I hope that Corona brings the death of eyebrows on fleek
147,Literally every celebrity ever 🤣🤦🏽‍♀️ I feel for y’all https://t.co/hBxAYcGJ6q
148,Corona virus said SIKE to seasonal depression going away
